KODE_KEL_BRG;URAIAN_KEL_BRG;ID_ SSH;KODE_ BARANG;URAIAN_BARANG;SPESIFIKASI;SATUAN;HARGA_SATUAN
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296085;1.3.02.05.02.0006.00002;Pompa Air Submersible;Pompa Air Submersible;Unit;47498700
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296086;1.3.02.05.02.0006.00003;Pompa Air Kolam;Pompa Air, tanam untuk kolam submersible;Buah;3013500
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296087;1.3.02.05.02.0006.00004;Pompa Air;Pompa Air, jet pump;Buah;6027000
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296088;1.3.02.05.02.0006.00005;Pompa Penyedot Lumpur;Pompa Penyedot Lumpur (5,5 hp, 3.600 RPM, 163 cc, bahan bakar bensin);Unit;16854000
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296089;1.3.02.05.02.0006.00006;Water pump;Pompa celup kolam ikan stanless stell Aquarium/Aquascape;Unit;750000
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7558360;1.3.02.05.02.0006.00086;Karpet ( Peredam Suara );Karpet ( Peredam Suara );m2;350000
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296091;1.3.02.05.02.0006.00007;Selang 1 (Roll);Selang 1 (Roll);Buah;914300
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7558271;1.3.02.05.02.0006.00067;Tong Sampah 1200 L;Tong Sampah 1200 L;Buah;9601500
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296314;1.3.02.05.02.0006.00013;Lemari Es 2 Pintu Standar;Lemari Es 2 Pintu Standar;Unit;6121400
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7296326;1.3.02.05.02.0006.00022;Tabung gas 3 Kg;tabung gas 3 Kg, Tabung gas dengan ukuran berat gas 3 Kg, beserta dengan isi gas seberat 3 Kg, disegel;Buah;260700
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7558277;1.3.02.05.02.0006.00068;Air Mancur Kolam;Air Mancur Kolam;Unit;9435000
1.3.02.05.02.0006;Alat Rumah Tangga Lainnya (Home Use);7558286;1.3.02.05.02.0006.00069;Exhaust Blower 12 Inch;Exhaust Blower 12 Inch;Set;7243200
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7558342;1.3.02.05.02.0007.00008;Hydrant;Hydrant;Unit;500000
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7304132;1.3.02.05.02.0007.00001;Hydrant Pilar 2 way, NIKITA : BK-763;Hydrant Pilar 2 way NIKITA : BK-763;Buah;6236100
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7558340;1.3.02.05.02.0007.00006;Springkle;Springkle;Buah;200000
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7558341;1.3.02.05.02.0007.00007;Alarm Bel;Alarm Bel;Buah;530100
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7558279;1.3.02.05.02.0007.00003;Springkle;Springkle;Buah;200000
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7558280;1.3.02.05.02.0007.00004;Alarm Bel;Alarm Bel;Buah;530100
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7558281;1.3.02.05.02.0007.00005;Hydrant;Hydrant;Unit;500000
1.3.02.05.02.0007;Alat Pemadam Kebakaran;7304133;1.3.02.05.02.0007.00002;APAR;APAR;Buah;1854000
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7558296;1.3.02.05.03.0007.00007;Selang Hydrant Rubber 1,5 x 20;Selang Hydrant Rubber 1,5 x 20;Set;4757300
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7296218;1.3.02.05.03.0007.00003;Lemari Arsip 4 Rak Pintu Kupu-Kupu;Lemari Arsip 4 Rak Pintu Kupu-Kupu;Unit;4550000
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7296217;1.3.02.05.03.0007.00002;Lemari Arsip 3 Rak (Pintu Sliding);Lemari Arsip 3 Rak (Pintu Sliding), MC -780 x 43x122.9 cm;Unit;3643900
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7467695;1.3.02.05.03.0007.00006;Lemari Arsip;Lemari Arsip;Buah;9010000
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7296216;1.3.02.05.03.0007.00001;Lemari 2 Pintu;Lemari B 212 (2 pintu);Unit;5205700
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7558357;1.3.02.05.03.0007.00008;Selang Hydrant Rubber 1,5 x 20;Selang Hydrant Rubber 1,5 x 20;Set;4757300
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7296219;1.3.02.05.03.0007.00004;Lemari Arsip Besi 1/2 Tinggi;Lemari arsip 1/2 tinggi pintu sliding panjang. Bahan plat besi dengan sistem pengecatan powder coating. Tipe : B 307 uk.P.200 x L.45 x T.100 cm. Tebal plat : 0,6 mm. Warna : abu abu;Unit;4247500
1.3.02.05.03.0007;Lemari dan Arsip Pejabat;7304139;1.3.02.05.03.0007.00005;Sarana Penyimpanan Arsip;Sarana Penyimpanan Arsip 4 Laci Lemari Besi RPF 9104-4 laci tahan api;Buah;49701300
1.3.02.06.01.0001;Peralatan Studio Audio;7560062;1.3.02.06.01.0001.00013;Back drop;Backdrop studio uk 4 x 6 meter;Unit;3298000
1.3.02.06.01.0001;Peralatan Studio Audio;7304027;1.3.02.06.01.0001.00007;Service Sound System Gedung;Service Sound System Gedung;Paket;2688500
1.3.02.06.01.0001;Peralatan Studio Audio;7304026;1.3.02.06.01.0001.00006;Sound System;Sound System;Set;48230000
1.3.02.06.01.0001;Peralatan Studio Audio;7304025;1.3.02.06.01.0001.00005;Mixer sound;Mixer sound;Buah;2266800
1.3.02.06.01.0001;Peralatan Studio Audio;7304024;1.3.02.06.01.0001.00004;Speaker Komputer;Speaker Komputer;Unit;500000
1.3.02.06.01.0001;Peralatan Studio Audio;7304023;1.3.02.06.01.0001.00003;Mega phone TOA;Mega phone TOA;Pcs;500000
1.3.02.06.01.0001;Peralatan Studio Audio;7304028;1.3.02.06.01.0001.00008;Speaker Portable Wireless;Speaker Portable Wireless;Unit;3710000
1.3.02.06.01.0001;Peralatan Studio Audio;7560064;1.3.02.06.01.0001.00015;Headphone Studio;Headphone Studio;Unit;2120000
1.3.02.06.01.0001;Peralatan Studio Audio;7560063;1.3.02.06.01.0001.00014;Flash kamera;LED Video Light;Unit;6240000
1.3.02.06.01.0001;Peralatan Studio Audio;7304022;1.3.02.06.01.0001.00002;Speaker Active;Speaker Active, Premium;Buah;13340600
1.3.02.06.01.0001;Peralatan Studio Audio;7560061;1.3.02.06.01.0001.00012;Speaker Monitor Aktif;Speaker Monitor Aktif;Unit;2535500
1.3.02.06.01.0001;Peralatan Studio Audio;7560060;1.3.02.06.01.0001.00011;Stabilzer camera;Stabilzer camera;Unit;5256450
1.3.02.06.01.0001;Peralatan Studio Audio;7479316;1.3.02.06.01.0001.00010;Speaker pinggang;Speaker Pinggang Waistband Pro 1.1 Mic Wireless;Unit;850000
1.3.02.06.01.0001;Peralatan Studio Audio;7304140;1.3.02.06.01.0001.00009;Intercom;Intercom;Unit;21278880
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7554436;1.3.02.06.01.0002.00005;Lensa Wide Sony 35;Full Frame Format, Appeture f/1.8 to f/22, Linear Autofocus Motor,;Unit;12000000
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7303706;1.3.02.06.01.0002.00001;Stadycam;Stadycam;Unit;7257600
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7304029;1.3.02.06.01.0002.00002;Wireless Video;Wireless Video;Unit;8342880
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7304165;1.3.02.06.01.0002.00003;Video Switcher HUB;Video Switcher HUB;Unit;22769600
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7304166;1.3.02.06.01.0002.00004;ContRolling Camera;ContRolling Camera;Unit;8171520
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7554440;1.3.02.06.01.0002.00006;Lensa Wide Sony 50;Prime Lens. Filter Size 49 mm, Focal Leghth 50 mm, Ma x Aperture f 1/1.8;Unit;5950000
1.3.02.06.01.0002;Peralatan Studio Video dan Film;7554462;1.3.02.06.01.0002.00007;Baterai Sony A7III;Baterai Sony NP-FZ100 Lithium - Ion Battery 2280 mAH;Unit;599000
1.3.02.06.01.0006;Alat Studio Lainnya;7304159;1.3.02.06.01.0006.00026;Usb Video Capture Card;Usb Video Capture Card;Unit;4088000
1.3.02.06.01.0006;Alat Studio Lainnya;7304154;1.3.02.06.01.0006.00021;Kamera Canon EOS Semi Pro + Kit 18-15 mm;Kamera Canon EOS Semi Pro + Kit 18-15 mm;Unit;25000000
1.3.02.06.01.0006;Alat Studio Lainnya;7304181;1.3.02.06.01.0006.00037;Running Text LED Uk 20 x 1 meter wifi;Running Text LED Uk 20 x 1 meter wifi;Unit;2100000
1.3.02.06.01.0006;Alat Studio Lainnya;7304153;1.3.02.06.01.0006.00020;Software Voice to Text;Software Voice to Text;Unit;247494500
1.3.02.06.01.0006;Alat Studio Lainnya;7304160;1.3.02.06.01.0006.00027;Video switcher;Video switcher;Unit;56672000
1.3.02.06.01.0006;Alat Studio Lainnya;7304174;1.3.02.06.01.0006.00036;Web Camera;Web Camera Logitech;Unit;2300000
1.3.02.06.01.0006;Alat Studio Lainnya;7304173;1.3.02.06.01.0006.00035;Webcam Built in MIC;Webcam Built in MIC;Unit;981000
1.3.02.06.01.0006;Alat Studio Lainnya;7304152;1.3.02.06.01.0006.00019;Dante Card;Dante Audinate Expansion Materie Card;Unit;11508200
1.3.02.06.01.0006;Alat Studio Lainnya;7304170;1.3.02.06.01.0006.00034;Camera Digital;Camera Digital;Unit;12000000
1.3.02.06.01.0006;Alat Studio Lainnya;7304151;1.3.02.06.01.0006.00018;Digital Mixer;Digital Mixer + Stage Box;Unit;77000000
1.3.02.06.01.0006;Alat Studio Lainnya;7304168;1.3.02.06.01.0006.00033;Tripod Camera;Tripod Camera;Unit;6493500
1.3.02.06.01.0006;Alat Studio Lainnya;7304167;1.3.02.06.01.0006.00032;Tripot Kamera;Tripot Kamera;Set;365000
1.3.02.06.01.0006;Alat Studio Lainnya;7304164;1.3.02.06.01.0006.00031;Video Recorder;"""1RU File-Based Video Recorder HDMI 4K In & Out, Analog Component Records Uncompressed 10-bit 4:2:2 1 RU Height, Built-In Rack Mount Ears Front Panel Button, Jog Wheel & RS-422 Records Compressed in ProRes / DNxHD Multi-Display Integrated LCD 1 x 6G-SDI & 3 x 3G-SDI Inputs / Outputs Thunderbolt""";Unit;21614880
1.3.02.06.01.0006;Alat Studio Lainnya;7304163;1.3.02.06.01.0006.00030;Video Recorder;"""1920 x 1200 7"""" Touchscreen LCD HDMI & 3G-SDI Video Inputs/Outputs Records up to 1080p60 Video Stores to 2 x SDXC/SDHC Memory Cards""";Unit;16798880
1.3.02.06.01.0006;Alat Studio Lainnya;7304162;1.3.02.06.01.0006.00029;Video Monitor;Video Monitor;Unit;3864000
1.3.02.06.01.0006;Alat Studio Lainnya;7304161;1.3.02.06.01.0006.00028;Videotron led outdoor p5 sive 69 x 200;Videotron led outdoor p5 sive 69 x 200;Unit;44000000
1.3.02.06.01.0006;Alat Studio Lainnya;7296235;1.3.02.06.01.0006.00001;Kamera CCTV Outdoor Bullet, 2.8-12mm Lens;Kamera CCTV Outdoor Bullet, 2.8-12mm Lens;Unit;11353500
1.3.02.06.01.0006;Alat Studio Lainnya;7296236;1.3.02.06.01.0006.00002;CCTV IP Camera;CCTV IP Camera;Unit;3071800
1.3.02.06.01.0006;Alat Studio Lainnya;7558264;1.3.02.06.01.0006.00040;Kacamata VR;Kacamata VR;Unit;1000000
1.3.02.06.01.0006;Alat Studio Lainnya;7304155;1.3.02.06.01.0006.00022;Video Converter;"3G-SDI FIBER OPTIC TRANSMITTER AND RECEIVER 1 x Transmitter & 1 x Receiver Transmits 1080p up to 12.5 Miles 3Gb/s Maximum Bandwidth SD-SDI/HD-SDI/3G-SDI Automatic Switching";Unit;6099520
1.3.02.06.01.0006;Alat Studio Lainnya;7304156;1.3.02.06.01.0006.00023;Video Converter;"""Input: HDMI type A *1 Output: SD/HD/3G-SDI(75?) *2 HDMI Color Space: RGB 4:4:4, YUV 4:4:4 & YUV 4:2:2 SDI Compliance: SMPTE 292M/SMPTE 259M/SMPTE 424M SDI Color Space: YUV 4:2:2 SDI Video Rate: SD/HD/3G-SDI, 1080P@60hz Equalization & Reclocking: Yes, 3G-SDIsupport 120m Dimension: 71mm*41mm*23mm Support: UP to 1080p60hz (3G all format)""";Unit;894880
1.3.02.06.01.0006;Alat Studio Lainnya;7303684;1.3.02.06.01.0006.00011;Modem internet;Modem internet;Unit;3360000
1.3.02.06.01.0006;Alat Studio Lainnya;7304157;1.3.02.06.01.0006.00024;Video Converter;"""SDI Video Input SD/HD/3G-SDI x1 OUPUT SDI Video Loop Output SD/HD/3G-SDI x1 HDMI Video Output HDMI type A x1 """;Unit;929600
1.3.02.06.01.0006;Alat Studio Lainnya;7304158;1.3.02.06.01.0006.00025;Video Capture Card;Video Capture Card;Unit;4536000
1.3.02.06.01.0006;Alat Studio Lainnya;7303588;1.3.02.06.01.0006.00007;Mixer Lighting;Mixer Lighting;Unit;5320000
1.3.02.06.01.0006;Alat Studio Lainnya;7303589;1.3.02.06.01.0006.00008;Dmx Distributor;Dmx Distributor;Unit;2016000
1.3.02.06.01.0006;Alat Studio Lainnya;7558282;1.3.02.06.01.0006.00041;Headset HT;Headset HT;Unit;94350
1.3.02.06.01.0006;Alat Studio Lainnya;7558343;1.3.02.06.01.0006.00043;Headset HT;Headset HT;Unit;94350
1.3.02.06.01.0006;Alat Studio Lainnya;7303608;1.3.02.06.01.0006.00009;Kamera Mirrorless;Kamera Mirrorless;Unit;30000000
1.3.02.06.01.0006;Alat Studio Lainnya;7303609;1.3.02.06.01.0006.00010;Kamera digital Canon EOS 750D;Kamera digital Canon EOS 750D with lens 18-135 mm STM wifi + memory 32 gb;Unit;16783000
1.3.02.06.01.0006;Alat Studio Lainnya;7304145;1.3.02.06.01.0006.00016;Wireless Mic Clipon;Wireless Mic Clipon;Unit;4590880
1.3.02.06.01.0006;Alat Studio Lainnya;7304144;1.3.02.06.01.0006.00015;Microphone/Wireless Mic;Sony Wireless UWP D21/Sony Mic;Unit;9948950
1.3.02.06.01.0006;Alat Studio Lainnya;7304143;1.3.02.06.01.0006.00014;Wireless Microphone System;Wireless Microphone System;Set;3000000
1.3.02.06.01.0006;Alat Studio Lainnya;7304142;1.3.02.06.01.0006.00013;Mic Wireless;Mic Wireless;Unit;6500000
1.3.02.06.01.0006;Alat Studio Lainnya;7304141;1.3.02.06.01.0006.00012;Wireless Microphone;Freq response 40 Hz-15kHz dynamic range>110 dB, output 300mV, 17v dc, 2,3 Kg;Unit;4396100
1.3.02.06.01.0006;Alat Studio Lainnya;7296237;1.3.02.06.01.0006.00003;IP Camera;IP Camera;Unit;16500000
1.3.02.06.01.0006;Alat Studio Lainnya;7558325;1.3.02.06.01.0006.00042;Kacamata VR;Kacamata VR;Unit;1000000
1.3.02.06.01.0006;Alat Studio Lainnya;7304150;1.3.02.06.01.0006.00017;Desktop Microphone;Limited Mic Podium Gooseneck;Unit;9009000
1.3.02.06.01.0006;Alat Studio Lainnya;7558486;1.3.02.06.01.0006.00044;Body Cam;Kamera Dada Boblov WN10 1080HD 32/68 GB Portable IR Night Tiara;Set;1597477,477
1.3.02.06.01.0006;Alat Studio Lainnya;7558487;1.3.02.06.01.0006.00045;Dash Cam;Kamera Dashboard Mobil 70 MAI Dash Cam Pro Plus A500S GPS 1944P;Set;1305405,405
1.3.02.06.01.0006;Alat Studio Lainnya;7554461;1.3.02.06.01.0006.00039;Tas Kamera;Tas Kamera Anti Air, Kantong Penyimpan kamera dan lensa;Unit;499000
1.3.02.06.01.0006;Alat Studio Lainnya;7554460;1.3.02.06.01.0006.00038;Tas Drone;As DJI Phantom III, Hardcase Drone Waterptoof;Unit;920000
1.3.02.06.01.0006;Alat Studio Lainnya;7303585;1.3.02.06.01.0006.00004;Par Led Lighting;Par Led Lighting;Unit;1120000
1.3.02.06.01.0006;Alat Studio Lainnya;7303586;1.3.02.06.01.0006.00005;Moving Head Effect;Moving Head Effect;Set;11872000
1.3.02.06.01.0006;Alat Studio Lainnya;7303587;1.3.02.06.01.0006.00006;Stage Effects;Stage Effects;Unit;2576000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7304254;1.3.02.06.02.0001.00004;Iphone 12 Pro Max;Iphone 12 Pro Max;Unit;25500000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7477915;1.3.02.06.02.0001.00005;Handphone;Handphone;Unit;5750000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7554464;1.3.02.06.02.0001.00007;Iphone;Layar Oled 6,1 Inch, Internal 128 GB, Ios 15, Face Id, Wireless Charging 15 Watt, Perekaman Video 4K;Unit;18699000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7304185;1.3.02.06.02.0001.00003;Pesawat Telepone Caller Id;Pesawat Telepone Caller Id;Unit;595000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7304182;1.3.02.06.02.0001.00001;Tab Samsung Galaxy;Tab Samsung Galaxy S7+;Unit;18800000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7304183;1.3.02.06.02.0001.00002;Telephone Mobile;Apple ipad Pro 11 inchi 2nd Gen (2020) WI-Fi 128 GB, space Grey + aksesoris;Unit;18947900
1.3.02.06.02.0001;Alat Komunikasi Telephone;7485777;1.3.02.06.02.0001.00006;Tablet Samsung Galaxy;Tablet Samsung Galaxy;Unit;6229000
1.3.02.06.02.0001;Alat Komunikasi Telephone;7560228;1.3.02.06.02.0001.00008;PABX SYSTEM 16 EXT;Sistem komunikasi IP untuk perusahaan kecil dan menengah yang dapat dikonfigurasi secara fleksibel dan diperluas sesuai dengan kebutuhan yang menawarkan sistem komunikasi yang hemat biaya, baik untuk Telephone Analog, Telephone Digital maupun Telephone IP/ SIP.;Unit;13000000
1.3.02.06.02.0011;Alat Komunikasi Lainnya;7560262;1.3.02.06.02.0011.00005;Repeater;SLR 8000 Motorolla;Unit;90090090
1.3.02.06.02.0011;Alat Komunikasi Lainnya;7304184;1.3.02.06.02.0011.00001;Handy Talky;Handy Talky;Buah;786600
1.3.02.06.02.0011;Alat Komunikasi Lainnya;7558489;1.3.02.06.02.0011.00004;HT External Mic;icom earphone microphone;Unit;354054,0541
1.3.02.06.02.0011;Alat Komunikasi Lainnya;7485780;1.3.02.06.02.0011.00003;Walkie Talkie;Walkie Talkie;Paket;485900
1.3.02.06.02.0011;Alat Komunikasi Lainnya;7304186;1.3.02.06.02.0011.00002;Mesin Fax;Mesin Fax;Unit;3984750
1.3.02.06.03.0047;Sumber Tenaga;7558269;1.3.02.06.03.0047.00001;Genset 1000 kVA;Genset 1000 kVA;Unit;1500000000
1.3.02.06.03.0047;Sumber Tenaga;7558330;1.3.02.06.03.0047.00002;Genset 1000 kVA;Genset 1000 kVA;Unit;1500000000
1.3.02.07.01.0001;Alat Kedokteran Umum;7479267;1.3.02.07.01.0001.00005;Portable Patient Monitor;Ukuran layar 5 inchi, tipe baterai Chargeable Lithium Ion 2500 mAh, Input Voltage 12 VDC;Buah;60193950
1.3.02.07.01.0001;Alat Kedokteran Umum;7495078;1.3.02.07.01.0001.00008;LIGHT CURE TERPISAH;ALAT UNTUK MENGERASKAN TAMBALAN GIGI;Unit;4300000
1.3.02.07.01.0001;Alat Kedokteran Umum;7495077;1.3.02.07.01.0001.00007;LAMPU TINDAKAN MEDIS KECIL;lampu untuk periksa;Unit;1200000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7477916;1.3.02.07.01.0002.00003;Handpiece/contra angel;Handpiece/contra angel;Buah;450000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7479266;1.3.02.07.01.0002.00009;Zinc Oxide Cement;Zinc Oxide Cement;Buah;80000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7479015;1.3.02.07.01.0002.00006;Liquid Irrigation;Liquid Irrigation;Buah;170000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7479014;1.3.02.07.01.0002.00005;Light Cure Terpisah;Alat untuk Mengeraskan Tambalan Gigi;Unit;1650000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7478646;1.3.02.07.01.0002.00004;K File 15-41;K File 15-41;Buah;150000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7479313;1.3.02.07.01.0002.00010;Scaler Manual;Scaler Manual;Buah;40000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7296071;1.3.02.07.01.0002.00002;Alat Pencabut Gigi;Alat Pencabut Gigi;Buah;750000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7479255;1.3.02.07.01.0002.00008;Ultasonik Scaller;Untuk Membersihkan Karang Gigi;Unit;6809000
1.3.02.07.01.0002;Alat Kedokteran Gigi;7479115;1.3.02.07.01.0002.00007;Oli Handpiece;Oli Handpiece;Buah;150000
1.3.02.07.01.0005;Alat Kesehatan Kebidanan dan Penyakit Kandungan;7560229;1.3.02.07.01.0005.00006;MEJA RESUSITASI;meja periksa khusus, untuk bayi atau anak kecil yang membutuhkan penanganan khusus;Unit;5300000
1.3.02.07.01.0005;Alat Kesehatan Kebidanan dan Penyakit Kandungan;7494229;1.3.02.07.01.0005.00002;Set Alat Cryotherapy;Sistem Cryotherapy dengan set aksesorisnya;Unit;95000000
1.3.02.07.01.0005;Alat Kesehatan Kebidanan dan Penyakit Kandungan;7303734;1.3.02.07.01.0005.00001;Partus Set;Partus Set Terbuat dari stainless steel Terdiri Dari : Instrument box 20 x 10 cm kidney Bowl 18/8 25x14x4 cm Pinard Stethoscope (alumunium) Braun Staedler Episiotomy Scissors Busch Umbilical Scissor 13 cm Beacham Amniotome 26 cm handscoen Disposable (box of 50 pcs);Set;4500000
1.3.02.07.01.0005;Alat Kesehatan Kebidanan dan Penyakit Kandungan;7560174;1.3.02.07.01.0005.00004;Balon Sungkup Resusitasi Bayi dengan Katup PEEP;Balon Sungkup Resusitasi Bayi dengan Katup PEEP;Unit;2000000
1.3.02.07.01.0005;Alat Kesehatan Kebidanan dan Penyakit Kandungan;7495076;1.3.02.07.01.0005.00003;LAMPU GINEKOLOGI;lampu serbaguna untuk periksa kesehatan ibu dan anak;Unit;4000000
1.3.02.07.01.0005;Alat Kesehatan Kebidanan dan Penyakit Kandungan;7560177;1.3.02.07.01.0005.00005;Pulse Oksimeteri Neonatus/Bayi;Pulse Oksimeteri Neonatus/Bayi;Unit;500000
1.3.02.07.01.0021;Alat Kedokteran Gawat Darurat;7559442;1.3.02.07.01.0021.00003;Portable Patient Monitor;Ukuran layar 5 inchi, tipe baterai Chargeable Lithium Ion 2500 mAh, Input Voltage 12 VDC;Buah;60193950
1.3.02.07.01.0021;Alat Kedokteran Gawat Darurat;7559445;1.3.02.07.01.0021.00004;Basket Stretcher;Uk. Produk 216x61x19 cm, Packing ukuran 220x64x22 cm, N.W 18kg, G.W 20 kg, beban bantalan 159 kg;Set;12000000
1.3.02.07.01.0021;Alat Kedokteran Gawat Darurat;7559439;1.3.02.07.01.0021.00002;Spinal Board;Bahan fiber, berat 6.02 kg, dimensi panjang 1830 mm, lebar 406 mm, ketebalan 58 mm, dengan kapasitas beban s.d 110 kg, tahan air, dilengkapi cervicall collar, speedblock, dan headbed. 14 lubang untuk tangan petugas;Set;16300000
1.3.02.07.01.0021;Alat Kedokteran Gawat Darurat;7559437;1.3.02.07.01.0021.00001;Stair Chair;Rangka logam, kapasitas beban s.d 227 kg, dua pelacak jalur untuk meluncur pada bibir tangga, dua roda depan diameter 4 inch dan dua roda belakang diameter 6 inchi dengan pengunci, tongkat pengangkat 5 posisi, pegangan depan telekospik 5 posisi, panel plastik yang mudah dibersihkan, footrest yang bisa disesuaikan, tempat oksigen dan tongkat infus.;Buah;131933000
1.3.02.07.01.0029;Alat Kedokteran Lainnya;7479283;1.3.02.07.01.0029.00001;USG 2 Dimensi;USG 2 Dimensi;Unit;154000000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7479025;1.3.02.07.02.0005.00030;Masker Oksigen (nebulizer) Dewasa;Masker Oksigen (nebulizer) Dewasa;Buah;35000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7303944;1.3.02.07.02.0005.00015;Thermometer Infrared/Thermogun;Thermometer Infrared/Thermogun (themperature range -50~380C, acurracy 1.5C or 1.5%);Unit;618000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7479027;1.3.02.07.02.0005.00031;Masker Oksigen (Rebreathing) Anak anak;Masker Oksigen (Rebreathing) Anak anak;Buah;30000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7479029;1.3.02.07.02.0005.00032;Masker Oksigen (Rebreathing) Dewasa;Masker Oksigen (Rebreathing) Dewasa;Buah;25000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7479031;1.3.02.07.02.0005.00033;Medina Hepa Filter Portable M40;Medina Hepa Filter Portable M40;Unit;44750000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7479057;1.3.02.07.02.0005.00034;Mess Ausculap B BRAUN / Pisau Bedah;Mess Ausculap B BRAUN / Pisau Bedah;Box;400000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7479074;1.3.02.07.02.0005.00035;Multi parameter GD check;5 in 1 Professional Multiparameter, Combo Testing Meter, PHECTDSSalinityThermometer Digital, MultiFunction Tester Water Quality Tester;Unit;1000000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7296158;1.3.02.07.02.0005.00011;Termometer Digital;Termometer Digital;Unit;1000000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7495092;1.3.02.07.02.0005.00046;Antropometri;set perlengkapan antropometri+ tas;Set;6700000
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7559624;1.3.02.07.02.0005.00066;Jarum Jahit Otot No. 12;GR ( OTOT ) DAN GT (KULIT ) 11 uk (6 atau 7 atau 8 atau 9 atau 10 atau 11 atau 12 atau 13 atau 14 atau 15 atau 16);Set;173271
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7559623;1.3.02.07.02.0005.00065;Jarum Jahit Otot No. 9;GR ( OTOT ) DAN GT (KULIT ) 11 uk (6 atau 7 atau 8 atau 9 atau 10 atau 11 atau 12 atau 13 atau 14 atau 15 atau 16);Set;173271
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7559622;1.3.02.07.02.0005.00064;Jarum Jahit Kulit No. 14;GR ( OTOT ) DAN GT (KULIT ) 11 uk (6 atau 7 atau 8 atau 9 atau 10 atau 11 atau 12 atau 13 atau 14 atau 15 atau 16);Set;173271
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7559621;1.3.02.07.02.0005.00063;Jarum Jahit Kulit No. 13;GR ( OTOT ) DAN GT (KULIT ) 11 uk (6 atau 7 atau 8 atau 9 atau 10 atau 11 atau 12 atau 13 atau 14 atau 15 atau 16);Set;173271
1.3.02.07.02.0005;Alat Kesehatan Umum Lainnya;7559620;1.3.02.07.02.0005.00062;Jarum Jahit Kulit No. 12;GR ( OTOT ) DAN GT (KULIT ) 11 uk (6 atau 7 atau 8 atau 9 atau 10 atau 11 atau 12 atau 13 atau 14 atau 15 atau 16);Set;173271
